Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
214.05	6.8357e-008	90.	-4.7253e-014	6.8357e-008
217.44	6.0405e-008	90.	-5.008e-014	6.0405e-008
220.88	5.2267e-008	90.	-5.3263e-014	5.2267e-008
224.38	4.3901e-008	90.	-5.6893e-014	4.3901e-008
227.94	3.5257e-008	90.	-6.1099e-014	3.5257e-008
231.54	2.6264e-008	90.	-6.6066e-014	2.6264e-008
235.21	1.6828e-008	90.	-7.2068e-014	1.6828e-008
238.94	6.8186e-009	90.001	-7.9532e-014	6.8186e-009
242.72	3.9565e-009	-90.001	-8.9146e-014	-3.9565e-009
246.56	1.579e-008	-90.	-1.0209e-013	-1.579e-008
250.47	2.9151e-008	-90.	-1.2051e-013	-2.9151e-008
254.43	4.4852e-008	-90.	-1.4873e-013	-4.4852e-008
258.46	6.4433e-008	-90.	-1.9642e-013	-6.4433e-008
262.55	9.1231e-008	-90.	-2.8952e-013	-9.1231e-008
266.71	1.3402e-007	-90.	-5.1541e-013	-1.3402e-007
270.94	2.2635e-007	-90.	-1.3671e-012	-2.2635e-007
275.23	7.1715e-007	-90.001	-1.4655e-011	-7.1715e-007
279.58	4.7097e-007	90.001	-8.0272e-012	4.7097e-007
284.01	1.403e-007	90.	-1.1423e-012	1.403e-007
288.51	5.9931e-008	90.	-4.8304e-013	5.9931e-008
293.08	1.968e-008	90.001	-2.9667e-013	1.968e-008
297.72	6.8975e-009	-90.002	-2.2137e-013	-6.8975e-009
302.43	2.7288e-008	-90.	-1.8551e-013	-2.7288e-008
307.22	4.4438e-008	-90.	-1.6732e-013	-4.4438e-008
312.09	5.9751e-008	-90.	-1.5835e-013	-5.9751e-008
317.03	7.399e-008	-90.	-1.5483e-013	-7.399e-008
322.05	8.7615e-008	-90.	-1.5486e-013	-8.7615e-008
327.15	1.0093e-007	-90.	-1.5745e-013	-1.0093e-007
332.33	1.1414e-007	-90.	-1.6204e-013	-1.1414e-007
337.59	1.2741e-007	-90.	-1.6836e-013	-1.2741e-007
342.94	1.4088e-007	-90.	-1.7627e-013	-1.4088e-007
348.37	1.5466e-007	-90.	-1.8574e-013	-1.5466e-007
353.88	1.6888e-007	-90.	-1.9686e-013	-1.6888e-007
359.49	1.8365e-007	-90.	-2.0974e-013	-1.8365e-007
365.18	1.9907e-007	-90.	-2.246e-013	-1.9907e-007
370.96	2.153e-007	-90.	-2.4175e-013	-2.153e-007
376.84	2.3249e-007	-90.	-2.6159e-013	-2.3249e-007
382.8	2.508e-007	-90.	-2.8464e-013	-2.508e-007
388.87	2.7046e-007	-90.	-3.1162e-013	-2.7046e-007
395.02	2.9174e-007	-90.	-3.4349e-013	-2.9174e-007
401.28	3.1496e-007	-90.	-3.8156e-013	-3.1496e-007
407.63	3.4055e-007	-90.	-4.2766e-013	-3.4055e-007
414.09	3.6906e-007	-90.	-4.8448e-013	-3.6906e-007
420.64	4.0126e-007	-90.	-5.5561e-013	-4.0126e-007
427.31	4.3818e-007	-90.	-6.4708e-013	-4.3818e-007
434.07	4.8132e-007	-90.	-7.681e-013	-4.8132e-007
440.95	5.3291e-007	-90.	-9.3403e-013	-5.3291e-007
447.93	5.9645e-007	-90.	-1.1721e-012	-5.9645e-007
455.02	6.7779e-007	-90.	-1.5346e-012	-6.7779e-007
462.23	7.8753e-007	-90.	-2.1324e-012	-7.8753e-007
469.55	9.4719e-007	-90.	-3.2372e-012	-9.4719e-007
476.98	1.2083e-006	-90.	-5.6724e-012	-1.2083e-006
484.53	1.7337e-006	-90.	-1.3017e-011	-1.7337e-006
492.21	3.4528e-006	-90.001	-6.0367e-011	-3.4528e-006
500.	1.7188e-005	90.006	-1.8713e-009	1.7188e-005
