Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
80.813	9.2426e-007	-59.921	4.6323e-007	-7.9979e-007
82.093	8.3621e-007	-55.951	4.682e-007	-6.9285e-007
83.393	7.5912e-007	-50.636	4.8147e-007	-5.869e-007
84.713	6.9653e-007	-43.622	5.0422e-007	-4.8053e-007
86.055	6.5466e-007	-34.673	5.384e-007	-3.7243e-007
87.417	6.4264e-007	-24.007	5.8705e-007	-2.6146e-007
88.802	6.7107e-007	-12.644	6.5479e-007	-1.4689e-007
90.208	7.4914e-007	-2.221	7.4858e-007	-2.9032e-008
91.636	8.8326e-007	5.8076	8.7872e-007	8.9376e-008
93.087	1.0788e-006	10.685	1.0601e-006	2.0002e-007
94.561	1.3418e-006	12.149	1.3118e-006	2.8239e-007
96.059	1.676e-006	10.02	1.6505e-006	2.9161e-007
97.58	2.0678e-006	4.0467	2.0626e-006	1.4592e-007
99.125	2.4569e-006	-5.8036	2.4443e-006	-2.4844e-007
100.69	2.7234e-006	-18.573	2.5816e-006	-8.6743e-007
102.29	2.7677e-006	-31.958	2.3483e-006	-1.465e-006
103.91	2.6165e-006	-43.593	1.895e-006	-1.8042e-006
105.55	2.374e-006	-52.473	1.4461e-006	-1.8827e-006
107.23	2.1186e-006	-58.735	1.0996e-006	-1.811e-006
108.92	1.8828e-006	-62.792	8.6085e-007	-1.6745e-006
110.65	1.6729e-006	-64.654	7.1615e-007	-1.5119e-006
112.4	1.5107e-006	-62.04	7.0827e-007	-1.3343e-006
114.18	1.8339e-006	-67.833	6.9194e-007	-1.6983e-006
115.99	1.4128e-006	-75.867	3.4496e-007	-1.37e-006
117.83	1.2268e-006	-75.629	3.0449e-007	-1.1884e-006
119.69	1.095e-006	-75.013	2.8316e-007	-1.0577e-006
121.59	9.8294e-007	-73.961	2.7157e-007	-9.4468e-007
123.51	8.8129e-007	-72.235	2.689e-007	-8.3927e-007
125.47	7.8622e-007	-69.466	2.7578e-007	-7.3627e-007
127.45	6.9688e-007	-65.021	2.9429e-007	-6.3169e-007
129.47	6.166e-007	-57.783	3.2873e-007	-5.2167e-007
131.52	5.5857e-007	-46.062	3.8758e-007	-4.0222e-007
133.61	5.5761e-007	-29.006	4.8767e-007	-2.7039e-007
135.72	6.761e-007	-11.143	6.6335e-007	-1.3067e-007
137.87	9.8169e-007	-1.4357	9.8139e-007	-2.4597e-008
140.05	1.5157e-006	-5.242	1.5093e-006	-1.3848e-007
142.27	2.1028e-006	-23.583	1.9272e-006	-8.413e-007
144.52	2.2178e-006	-47.16	1.508e-006	-1.6262e-006
146.81	1.944e-006	-63.541	8.6613e-007	-1.7403e-006
149.14	1.6503e-006	-72.595	4.9364e-007	-1.5747e-006
151.5	1.4229e-006	-77.598	3.056e-007	-1.3897e-006
153.9	1.2511e-006	-80.503	2.0643e-007	-1.234e-006
