Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
420.64	8.1007e-008	-78.157	1.6625e-008	-7.9283e-008
427.31	5.8711e-008	-124.26	-3.3055e-008	-4.8522e-008
434.07	2.8151e-008	153.13	-2.5111e-008	1.2725e-008
440.95	2.9677e-009	99.91	-5.1076e-010	2.9234e-009
447.93	3.4513e-009	-12.176	3.3737e-009	-7.2792e-010
455.02	8.1978e-008	-71.74	2.5686e-008	-7.785e-008
462.23	4.5402e-007	130.94	-2.9751e-007	3.4296e-007
469.55	4.9181e-008	29.195	4.2933e-008	2.3989e-008
476.98	1.2957e-008	38.969	1.0074e-008	8.1489e-009
484.53	8.6208e-008	89.804	2.9508e-010	8.6208e-008
492.21	1.3072e-007	-3.2818	1.3051e-007	-7.4834e-009
500.	5.0891e-007	-141.99	-4.0095e-007	-3.1342e-007
