Freq(hertz)	Ze(ohms)	ZePhase(deg)
1074.13 	15.54   	67.26   
1089.60 	15.74   	67.57   
1105.30 	15.95   	67.89   
1121.22 	16.16   	68.19   
1137.37 	16.38   	68.49   
1153.75 	16.60   	68.79   
1170.37 	16.82   	69.09   
1187.23 	17.04   	69.37   
1204.33 	17.27   	69.66   
1221.68 	17.51   	69.94   
1239.28 	17.74   	70.23   
1257.13 	17.99   	70.51   
1275.23 	18.25   	70.80   
1293.60 	18.20   	70.72   
1312.24 	18.68   	71.26   
1331.14 	18.95   	71.53   
1350.31 	19.21   	71.79   
1369.76 	19.48   	72.05   
1389.50 	19.74   	72.30   
1409.51 	20.01   	72.55   
1429.81 	20.29   	72.79   
1450.41 	20.57   	73.03   
1471.30 	20.85   	73.27   
1492.50 	21.14   	73.50   
1513.99 	21.43   	73.73   
1535.80 	21.72   	73.96   
1557.93 	22.02   	74.18   
1580.37 	22.33   	74.40   
1603.13 	22.64   	74.62   
1626.22 	22.95   	74.83   
1649.65 	23.27   	75.04   
1673.41 	23.59   	75.24   
1697.52 	23.93   	75.45   
1721.97 	23.89   	75.30   
1746.77 	24.56   	75.83   
1771.93 	24.91   	76.04   
1797.46 	25.26   	76.24   
1823.35 	25.61   	76.44   
1849.61 	25.97   	76.63   
1876.26 	26.33   	76.82   
1903.28 	26.70   	77.01   
1930.70 	27.07   	77.19   
1958.51 	27.45   	77.37   
1986.72 	27.84   	77.55   
2015.34 	28.23   	77.73   
2044.37 	28.63   	77.90   
2073.82 	29.03   	78.07   
2103.69 	29.44   	78.24   
2133.99 	29.86   	78.41   
2164.73 	30.26   	78.56   
2195.91 	30.69   	78.72   
2227.54 	31.13   	78.88   
2259.63 	31.57   	79.04   
2292.18 	32.01   	79.20   
2325.20 	32.47   	79.35   
2358.69 	32.92   	79.50   
2392.67 	33.39   	79.65   
2427.13 	33.86   	79.79   
2462.09 	34.34   	79.93   
2497.56 	34.83   	80.08   
2533.53 	35.32   	80.21   
2570.03 	35.83   	80.35   
2607.05 	36.32   	80.48   
2644.60 	36.84   	80.62   
2682.70 	37.36   	80.76   
2721.34 	37.89   	80.89   
2760.54 	38.43   	81.02   
2800.30 	38.98   	81.14   
2840.64 	39.53   	81.27   
2881.56 	40.09   	81.39   
2923.07 	40.66   	81.51   
2965.17 	41.24   	81.63   
3007.88 	41.87   	81.76   
3051.21 	42.42   	81.87   
3095.16 	43.03   	81.98   
3139.75 	43.64   	82.10   
3184.97 	44.26   	82.21   
3230.85 	44.89   	82.32   
3277.39 	45.53   	82.43   
3324.60 	46.18   	82.53   
3372.49 	46.84   	82.64   
3421.07 	47.52   	82.74   
3470.35 	48.18   	82.84   
3520.33 	48.87   	82.95   
3571.04 	49.57   	83.05   
3622.48 	50.28   	83.15   
3674.66 	51.00   	83.24   
3727.59 	51.73   	83.34   
3781.29 	52.47   	83.43   
3835.76 	53.22   	83.53   
3891.01 	53.98   	83.62   
3947.06 	54.75   	83.71   
4003.91 	55.53   	83.80   
4061.59 	56.33   	83.89   
4120.09 	57.14   	83.97   
4179.44 	57.95   	84.06   
4239.64 	58.78   	84.14   
4300.71 	59.43   	84.19   
4362.66 	60.48   	84.30   
4425.50 	61.34   	84.39   
4489.25 	62.22   	84.47   
4553.92 	63.11   	84.54   
4619.51 	64.02   	84.62   
4686.06 	64.94   	84.70   
4753.56 	65.86   	84.77   
4822.03 	66.81   	84.85   
4891.49 	67.77   	84.92   
4961.95 	68.74   	84.99   
5033.42 	69.73   	85.06   
5105.93 	70.73   	85.13   
5179.47 	71.74   	85.20   
5254.08 	72.77   	85.27   
5329.77 	73.81   	85.34   
5406.54 	74.87   	85.40   
5484.42 	75.95   	85.47   
5563.42 	77.04   	85.53   
5643.56 	78.14   	85.60   
5724.85 	79.27   	85.66   
5807.31 	80.40   	85.72   
5890.96 	81.56   	85.78   
5975.82 	82.73   	85.84   
6061.90 	83.92   	85.90   
6149.22 	85.12   	85.96   
6237.79 	86.35   	86.02   
6327.65 	87.59   	86.07   
6418.79 	88.85   	86.13   
6511.25 	90.12   	86.18   
6605.04 	91.42   	86.24   
6700.19 	92.73   	86.29   
6796.70 	94.06   	86.34   
6894.60 	95.41   	86.39   
6993.92 	96.78   	86.45   
7094.66 	98.18   	86.50   
