Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
427.09	2.5411e-008	164.93	-2.4537e-008	6.6074e-009
435.07	2.3661e-008	-151.74	-2.084e-008	-1.1204e-008
443.19	3.3678e-008	-123.2	-1.8442e-008	-2.818e-008
451.46	4.774e-008	-110.82	-1.6966e-008	-4.4624e-008
459.89	6.2917e-008	-104.93	-1.6209e-008	-6.0794e-008
468.47	7.8576e-008	-101.81	-1.6082e-008	-7.6913e-008
477.22	9.4649e-008	-100.1	-1.659e-008	-9.3183e-008
486.12	1.1123e-007	-99.226	-1.7833e-008	-1.0979e-007
495.2	1.2848e-007	-98.973	-2.0039e-008	-1.2691e-007
504.44	1.4656e-007	-99.282	-2.3639e-008	-1.4464e-007
513.86	1.6555e-007	-100.23	-2.9396e-008	-1.6292e-007
523.45	1.8509e-007	-102.03	-3.8565e-008	-1.8103e-007
533.22	2.035e-007	-105.01	-5.269e-008	-1.9656e-007
543.17	2.1562e-007	-109.25	-7.1071e-008	-2.0357e-007
553.31	2.1334e-007	-113.06	-8.3554e-008	-1.9629e-007
563.64	2.0092e-007	-112.17	-7.5816e-008	-1.8606e-007
574.16	1.9928e-007	-106.26	-5.5813e-008	-1.9131e-007
584.88	2.1403e-007	-100.37	-3.8542e-008	-2.1053e-007
595.8	2.3763e-007	-96.588	-2.7264e-008	-2.3606e-007
606.92	2.6515e-007	-94.391	-2.0301e-008	-2.6437e-007
618.25	2.9493e-007	-93.113	-1.6015e-008	-2.9449e-007
629.79	3.2703e-007	-92.332	-1.3305e-008	-3.2676e-007
641.55	3.6199e-007	-91.831	-1.1567e-008	-3.6181e-007
653.52	4.0071e-007	-91.492	-1.0431e-008	-4.0057e-007
665.72	4.444e-007	-91.24	-9.6184e-009	-4.4429e-007
678.15	4.948e-007	-91.02	-8.8068e-009	-4.9472e-007
690.81	5.5464e-007	-90.767	-7.4283e-009	-5.5459e-007
703.7	6.2897e-007	-90.411	-4.5136e-009	-6.2895e-007
716.84	7.284e-007	-90.031	-3.9922e-010	-7.284e-007
730.22	8.6905e-007	-90.271	-4.1097e-009	-8.6904e-007
743.85	1.0657e-006	-91.596	-2.9684e-008	-1.0653e-006
757.74	1.3616e-006	-93.858	-9.1621e-008	-1.3585e-006
771.88	1.8923e-006	-98.184	-2.6936e-007	-1.873e-006
786.29	3.1182e-006	-110.45	-1.0893e-006	-2.9218e-006
800.97	5.395e-006	-161.48	-5.1158e-006	-1.7132e-006
815.92	2.7725e-006	146.36	-2.3081e-006	1.5359e-006
831.15	1.4443e-006	142.4	-1.1443e-006	8.8125e-007
846.66	1.0238e-006	155.64	-9.327e-007	4.2225e-007
862.47	1.0787e-006	170.88	-1.065e-006	1.7095e-007
878.57	1.4578e-006	168.12	-1.4266e-006	3.0013e-007
894.97	1.6598e-006	144.89	-1.3579e-006	9.5456e-007
911.67	1.3543e-006	123.43	-7.4613e-007	1.1302e-006
928.69	1.0178e-006	112.73	-3.933e-007	9.3878e-007
946.03	7.9017e-007	107.96	-2.4367e-007	7.5166e-007
963.69	6.4353e-007	105.46	-1.7156e-007	6.2024e-007
981.68	5.437e-007	102.1	-1.1399e-007	5.3162e-007
1000.	4.4441e-007	96.149	-4.7599e-008	4.4185e-007
