Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
166.72	2.4488e-008	-84.982	2.1417e-009	-2.4394e-008
168.5	2.4749e-008	-86.851	1.3596e-009	-2.4712e-008
170.3	2.5014e-008	-88.739	5.5035e-010	-2.5008e-008
172.12	2.5281e-008	-90.648	-2.8587e-010	-2.5279e-008
173.95	2.5551e-008	-92.577	-1.1488e-009	-2.5525e-008
175.81	2.5824e-008	-94.527	-2.0381e-009	-2.5743e-008
177.69	2.6099e-008	-96.497	-2.9532e-009	-2.5932e-008
179.58	2.6378e-008	-98.489	-3.8938e-009	-2.6089e-008
181.5	2.666e-008	-100.5	-4.859e-009	-2.6213e-008
183.44	2.6944e-008	-102.54	-5.8483e-009	-2.6302e-008
185.4	2.7232e-008	-104.59	-6.8606e-009	-2.6354e-008
187.38	2.7523e-008	-106.67	-7.895e-009	-2.6366e-008
189.38	2.7816e-008	-108.77	-8.9504e-009	-2.6337e-008
191.4	2.8113e-008	-110.89	-1.0026e-008	-2.6265e-008
193.44	2.8413e-008	-113.04	-1.1119e-008	-2.6147e-008
195.51	2.8716e-008	-115.21	-1.2229e-008	-2.5982e-008
197.59	2.9022e-008	-117.4	-1.3355e-008	-2.5767e-008
199.7	2.9332e-008	-119.61	-1.4493e-008	-2.5501e-008
201.83	2.9645e-008	-121.85	-1.5643e-008	-2.5181e-008
203.99	2.9961e-008	-124.11	-1.6802e-008	-2.4806e-008
206.17	3.028e-008	-126.4	-1.7968e-008	-2.4373e-008
208.37	3.0603e-008	-128.71	-1.9138e-008	-2.3881e-008
210.59	3.093e-008	-131.04	-2.0309e-008	-2.3328e-008
212.84	3.1259e-008	-133.4	-2.1479e-008	-2.2711e-008
215.11	3.1593e-008	-135.79	-2.2644e-008	-2.203e-008
217.41	3.1929e-008	-138.2	-2.3801e-008	-2.1283e-008
219.73	3.227e-008	-140.63	-2.4948e-008	-2.0468e-008
222.07	3.2614e-008	-143.09	-2.6079e-008	-1.9584e-008
224.44	3.2961e-008	-145.58	-2.7191e-008	-1.863e-008
226.84	3.3313e-008	-148.1	-2.8281e-008	-1.7605e-008
229.26	3.3668e-008	-150.64	-2.9343e-008	-1.6508e-008
231.71	3.4027e-008	-153.21	-3.0374e-008	-1.5338e-008
234.18	3.439e-008	-155.8	-3.1368e-008	-1.4096e-008
236.68	3.4757e-008	-158.43	-3.2322e-008	-1.278e-008
239.21	3.5128e-008	-161.08	-3.3229e-008	-1.1392e-008
241.76	3.5502e-008	-163.76	-3.4085e-008	-9.9303e-009
244.34	3.5881e-008	-166.47	-3.4885e-008	-8.3973e-009
246.95	3.6264e-008	-169.2	-3.5622e-008	-6.7935e-009
249.59	3.6651e-008	-171.97	-3.6292e-008	-5.1203e-009
252.25	3.7042e-008	-174.77	-3.6888e-008	-3.3795e-009
254.94	3.7438e-008	-177.59	-3.7404e-008	-1.5733e-009
257.66	3.7837e-008	179.55	-3.7836e-008	2.9561e-010
260.41	3.8241e-008	176.67	-3.8176e-008	2.2242e-009
263.19	3.8649e-008	173.75	-3.8419e-008	4.209e-009
266.	3.9062e-008	170.8	-3.8559e-008	6.2459e-009
268.84	3.9479e-008	167.82	-3.859e-008	8.3304e-009
271.71	3.99e-008	164.81	-3.8506e-008	1.0457e-008
274.61	4.0326e-008	161.76	-3.83e-008	1.2621e-008
277.54	4.0757e-008	158.68	-3.7968e-008	1.4815e-008
280.51	4.1191e-008	155.57	-3.7505e-008	1.7033e-008
283.5	4.1631e-008	152.43	-3.6904e-008	1.9267e-008
286.53	4.2075e-008	149.25	-3.6161e-008	2.151e-008
289.59	4.2524e-008	146.04	-3.5272e-008	2.3752e-008
292.68	4.2977e-008	142.8	-3.4232e-008	2.5985e-008
295.8	4.3436e-008	139.52	-3.3038e-008	2.8199e-008
298.96	4.3899e-008	136.2	-3.1686e-008	3.0382e-008
302.15	4.4367e-008	132.85	-3.0175e-008	3.2525e-008
305.37	4.4839e-008	129.47	-2.8502e-008	3.4615e-008
308.63	4.5317e-008	126.05	-2.6666e-008	3.6641e-008
311.93	4.58e-008	122.59	-2.4667e-008	3.8589e-008
315.26	4.6288e-008	119.09	-2.2506e-008	4.0448e-008
318.62	4.6781e-008	115.56	-2.0184e-008	4.2202e-008
322.02	4.7279e-008	111.99	-1.7704e-008	4.3839e-008
325.46	4.7782e-008	108.38	-1.5069e-008	4.5344e-008
328.94	4.8291e-008	104.74	-1.2285e-008	4.6703e-008
332.45	4.8806e-008	101.05	-9.3562e-009	4.79e-008
336.	4.9326e-008	97.328	-6.2916e-009	4.8923e-008
339.58	4.9851e-008	93.564	-3.0993e-009	4.9755e-008
343.21	5.0383e-008	89.761	2.1048e-010	5.0382e-008
346.87	5.092e-008	85.916	3.6262e-009	5.079e-008
350.57	5.1463e-008	82.031	7.1347e-009	5.0966e-008
354.32	5.2011e-008	78.104	1.0721e-008	5.0894e-008
358.1	5.2566e-008	74.135	1.437e-008	5.0564e-008
361.92	5.3127e-008	70.124	1.8063e-008	4.9963e-008
365.78	5.3694e-008	66.07	2.178e-008	4.9079e-008
369.69	5.4268e-008	61.972	2.5501e-008	4.7903e-008
373.63	5.4847e-008	57.83	2.9202e-008	4.6427e-008
377.62	5.5433e-008	53.644	3.286e-008	4.4643e-008
381.65	5.6024e-008	49.413	3.6449e-008	4.2546e-008
385.73	5.6623e-008	45.137	3.9942e-008	4.0134e-008
389.85	5.7227e-008	40.815	4.3311e-008	3.7405e-008
394.01	5.7838e-008	36.446	4.6525e-008	3.436e-008
398.21	5.8455e-008	32.031	4.9555e-008	3.1003e-008
402.46	5.9078e-008	27.569	5.237e-008	2.7342e-008
406.76	5.9707e-008	23.059	5.4937e-008	2.3386e-008
411.1	6.0343e-008	18.5	5.7225e-008	1.9148e-008
415.49	6.0986e-008	13.893	5.9202e-008	1.4644e-008
419.92	6.1635e-008	9.2376	6.0835e-008	9.8942e-009
424.41	6.229e-008	4.5323	6.2095e-008	4.9222e-009
428.94	6.2952e-008	-0.22296	6.2952e-008	-2.4497e-010
433.52	6.3621e-008	-5.0287	6.3377e-008	-5.5767e-009
438.14	6.4298e-008	-9.8853	6.3343e-008	-1.1038e-008
442.82	6.4981e-008	-14.793	6.2827e-008	-1.6592e-008
447.55	6.5671e-008	-19.754	6.1807e-008	-2.2195e-008
452.32	6.6369e-008	-24.766	6.0265e-008	-2.7803e-008
457.15	6.7075e-008	-29.832	5.8186e-008	-3.3367e-008
462.03	6.7788e-008	-34.952	5.5561e-008	-3.8835e-008
466.96	6.8509e-008	-40.126	5.2384e-008	-4.4153e-008
471.95	6.9239e-008	-45.356	4.8654e-008	-4.9262e-008
476.99	6.9976e-008	-50.641	4.4377e-008	-5.4105e-008
482.08	7.0722e-008	-55.983	3.9564e-008	-5.8619e-008
487.22	7.1475e-008	-61.382	3.4234e-008	-6.2744e-008
492.43	7.2237e-008	-66.839	2.8412e-008	-6.6415e-008
497.68	7.3007e-008	-72.354	2.2131e-008	-6.9572e-008
502.99	7.3785e-008	-77.928	1.5431e-008	-7.2154e-008
508.36	7.4571e-008	-83.562	8.3612e-009	-7.4101e-008
513.79	7.5366e-008	-89.256	9.782e-010	-7.5359e-008
519.27	7.6168e-008	-95.011	-6.6531e-009	-7.5877e-008
524.82	7.6978e-008	-100.83	-1.446e-008	-7.5608e-008
530.42	7.7797e-008	-106.7	-2.2362e-008	-7.4514e-008
536.08	7.8624e-008	-112.64	-3.0271e-008	-7.2562e-008
541.8	7.9459e-008	-118.65	-3.8094e-008	-6.9732e-008
547.59	8.0304e-008	-124.71	-4.5731e-008	-6.601e-008
553.43	8.1158e-008	-130.84	-5.3078e-008	-6.1395e-008
559.34	8.2022e-008	-137.04	-6.0025e-008	-5.5897e-008
565.31	8.2895e-008	-143.3	-6.6464e-008	-4.954e-008
571.35	8.378e-008	-149.63	-7.2282e-008	-4.236e-008
577.44	8.4675e-008	-156.02	-7.7368e-008	-3.441e-008
583.61	8.5581e-008	-162.49	-8.1614e-008	-2.5754e-008
589.84	8.6498e-008	-169.02	-8.4914e-008	-1.6476e-008
596.13	8.7426e-008	-175.62	-8.7171e-008	-6.6727e-009
602.5	8.8364e-008	177.7	-8.8293e-008	3.5423e-009
608.93	8.9312e-008	170.96	-8.8202e-008	1.404e-008
615.43	9.027e-008	164.14	-8.6832e-008	2.4677e-008
622.	9.1238e-008	157.24	-8.4134e-008	3.5295e-008
628.64	9.2214e-008	150.27	-8.0079e-008	4.5724e-008
635.35	9.3198e-008	143.23	-7.4658e-008	5.5786e-008
642.13	9.4191e-008	136.12	-6.7886e-008	6.5294e-008
648.98	9.5192e-008	128.92	-5.9807e-008	7.4059e-008
655.91	9.6203e-008	121.66	-5.0489e-008	8.189e-008
662.91	9.7224e-008	114.31	-4.0028e-008	8.8601e-008
669.99	9.8256e-008	106.89	-2.8551e-008	9.4016e-008
677.14	9.93e-008	99.396	-1.6211e-008	9.7968e-008
684.37	1.0036e-007	91.82	-3.1868e-009	1.0031e-007
691.67	1.0143e-007	84.164	1.0314e-008	1.0091e-007
699.06	1.0252e-007	76.426	2.4062e-008	9.9658e-008
706.52	1.0363e-007	68.605	3.7802e-008	9.6485e-008
714.06	1.0475e-007	60.699	5.1263e-008	9.1345e-008
721.68	1.0588e-007	52.706	6.4154e-008	8.4232e-008
729.39	1.0703e-007	44.625	7.6173e-008	7.5183e-008
737.17	1.0818e-007	36.455	8.7015e-008	6.4283e-008
745.04	1.0935e-007	28.196	9.6375e-008	5.1668e-008
752.99	1.1052e-007	19.848	1.0396e-007	3.7526e-008
761.03	1.117e-007	11.41	1.095e-007	2.2099e-008
769.16	1.1289e-007	2.8839	1.1275e-007	5.6798e-009
777.37	1.1408e-007	-5.7309	1.1351e-007	-1.1392e-008
785.66	1.1528e-007	-14.434	1.1164e-007	-2.8737e-008
794.05	1.165e-007	-23.227	1.0706e-007	-4.5943e-008
802.53	1.1773e-007	-32.109	9.9718e-008	-6.2575e-008
811.09	1.1897e-007	-41.084	8.9674e-008	-7.8183e-008
819.75	1.2023e-007	-50.152	7.704e-008	-9.231e-008
828.5	1.2152e-007	-59.317	6.2008e-008	-1.0451e-007
