Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
36.457	2.437e-006	92.375	-1.01e-007	2.4349e-006
36.744	2.2796e-006	92.267	-9.0181e-008	2.2778e-006
37.033	2.1406e-006	92.173	-8.1158e-008	2.1391e-006
37.325	2.0171e-006	92.09	-7.3549e-008	2.0157e-006
37.619	1.9065e-006	92.016	-6.7068e-008	1.9053e-006
37.915	1.8069e-006	91.951	-6.1501e-008	1.8058e-006
38.213	1.7168e-006	91.892	-5.6681e-008	1.7158e-006
38.514	1.6348e-006	91.84	-5.2477e-008	1.6339e-006
38.817	1.5598e-006	91.792	-4.8787e-008	1.5591e-006
39.122	1.4911e-006	91.75	-4.5529e-008	1.4904e-006
39.43	1.4278e-006	91.711	-4.2637e-008	1.4272e-006
39.741	1.3693e-006	91.676	-4.0058e-008	1.3688e-006
40.054	1.3151e-006	91.645	-3.7747e-008	1.3146e-006
40.369	1.2648e-006	91.616	-3.5667e-008	1.2643e-006
40.686	1.2178e-006	91.59	-3.3788e-008	1.2173e-006
41.007	1.1739e-006	91.566	-3.2085e-008	1.1735e-006
41.329	1.1328e-006	91.545	-3.0535e-008	1.1324e-006
41.655	1.0942e-006	91.525	-2.9121e-008	1.0938e-006
41.983	1.0579e-006	91.507	-2.7828e-008	1.0576e-006
42.313	1.0237e-006	91.491	-2.6641e-008	1.0234e-006
42.646	9.9141e-007	91.477	-2.5549e-008	9.9108e-007
42.982	9.6085e-007	91.464	-2.4542e-008	9.6053e-007
43.32	9.3189e-007	91.452	-2.3611e-008	9.3159e-007
43.661	9.0441e-007	91.441	-2.2749e-008	9.0412e-007
44.005	8.7829e-007	91.432	-2.1949e-008	8.7801e-007
44.351	8.5343e-007	91.424	-2.1205e-008	8.5316e-007
44.7	8.2973e-007	91.417	-2.0513e-008	8.2948e-007
45.052	8.0712e-007	91.41	-1.9867e-008	8.0688e-007
45.406	7.8552e-007	91.405	-1.9263e-008	7.8528e-007
45.764	7.6485e-007	91.401	-1.8698e-008	7.6462e-007
46.124	7.4506e-007	91.397	-1.8169e-008	7.4484e-007
46.487	7.2609e-007	91.395	-1.7673e-008	7.2587e-007
46.853	7.0788e-007	91.393	-1.7206e-008	7.0767e-007
47.222	6.9039e-007	91.392	-1.6768e-008	6.9019e-007
