Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
37.033	1.4288e-007	82.683	1.8196e-008	1.4172e-007
37.325	1.387e-007	82.645	1.7757e-008	1.3756e-007
37.619	1.3502e-007	82.612	1.7361e-008	1.339e-007
37.915	1.3176e-007	82.585	1.7005e-008	1.3066e-007
38.213	1.2886e-007	82.561	1.6684e-008	1.2777e-007
38.514	1.2627e-007	82.54	1.6394e-008	1.252e-007
38.817	1.2395e-007	82.521	1.6133e-008	1.2289e-007
39.122	1.2187e-007	82.504	1.5898e-008	1.2083e-007
39.43	1.2e-007	82.489	1.5686e-008	1.1897e-007
39.741	1.1831e-007	82.475	1.5495e-008	1.173e-007
40.054	1.168e-007	82.461	1.5324e-008	1.1579e-007
40.369	1.1543e-007	82.448	1.517e-008	1.1443e-007
40.686	1.1419e-007	82.436	1.5032e-008	1.132e-007
41.007	1.1308e-007	82.423	1.491e-008	1.1209e-007
41.329	1.1207e-007	82.411	1.4802e-008	1.1109e-007
41.655	1.1116e-007	82.398	1.4706e-008	1.1019e-007
41.983	1.1035e-007	82.385	1.4623e-008	1.0938e-007
42.313	1.0962e-007	82.372	1.455e-008	1.0865e-007
42.646	1.0896e-007	82.359	1.4489e-008	1.08e-007
42.982	1.0838e-007	82.345	1.4437e-008	1.0741e-007
43.32	1.0786e-007	82.331	1.4394e-008	1.0689e-007
43.661	1.074e-007	82.316	1.436e-008	1.0644e-007
44.005	1.07e-007	82.301	1.4335e-008	1.0603e-007
44.351	1.0665e-007	82.285	1.4317e-008	1.0568e-007
44.7	1.0635e-007	82.268	1.4307e-008	1.0538e-007
45.052	1.0609e-007	82.251	1.4304e-008	1.0512e-007
45.406	1.0588e-007	82.234	1.4308e-008	1.0491e-007
45.764	1.0571e-007	82.215	1.4319e-008	1.0474e-007
46.124	1.0558e-007	82.196	1.4336e-008	1.046e-007
46.487	1.0548e-007	82.176	1.4359e-008	1.045e-007
46.853	1.0542e-007	82.156	1.4387e-008	1.0443e-007
47.222	1.0539e-007	82.135	1.4422e-008	1.0439e-007
47.593	1.0539e-007	82.113	1.4462e-008	1.0439e-007
