Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
117.44	1.4622e-007	75.738	3.6021e-008	1.4171e-007
118.69	1.4772e-007	75.587	3.6771e-008	1.4308e-007
119.96	1.4925e-007	75.434	3.7535e-008	1.4445e-007
121.24	1.5078e-007	75.279	3.8316e-008	1.4584e-007
122.54	1.5234e-007	75.123	3.9112e-008	1.4723e-007
123.84	1.539e-007	74.965	3.9924e-008	1.4863e-007
125.17	1.5548e-007	74.806	4.0752e-008	1.5005e-007
126.5	1.5708e-007	74.644	4.1597e-008	1.5147e-007
127.85	1.5869e-007	74.481	4.2458e-008	1.5291e-007
129.22	1.6032e-007	74.317	4.3337e-008	1.5435e-007
130.6	1.6196e-007	74.15	4.4233e-008	1.558e-007
131.99	1.6362e-007	73.982	4.5147e-008	1.5727e-007
133.4	1.6529e-007	73.813	4.608e-008	1.5874e-007
134.82	1.6698e-007	73.641	4.703e-008	1.6022e-007
136.26	1.6868e-007	73.467	4.8e-008	1.6171e-007
137.72	1.704e-007	73.292	4.8988e-008	1.6321e-007
139.19	1.7213e-007	73.115	4.9996e-008	1.6471e-007
140.67	1.7388e-007	72.936	5.1024e-008	1.6623e-007
142.17	1.7565e-007	72.755	5.2072e-008	1.6775e-007
143.69	1.7743e-007	72.573	5.3141e-008	1.6929e-007
145.23	1.7923e-007	72.388	5.423e-008	1.7083e-007
146.78	1.8104e-007	72.201	5.534e-008	1.7238e-007
148.34	1.8288e-007	72.013	5.6472e-008	1.7394e-007
149.93	1.8472e-007	71.822	5.7626e-008	1.755e-007
151.53	1.8658e-007	71.63	5.8802e-008	1.7708e-007
153.14	1.8846e-007	71.436	6.0001e-008	1.7866e-007
154.78	1.9036e-007	71.239	6.1223e-008	1.8025e-007
156.43	1.9227e-007	71.041	6.2468e-008	1.8184e-007
158.1	1.942e-007	70.84	6.3737e-008	1.8344e-007
159.79	1.9615e-007	70.638	6.503e-008	1.8505e-007
161.49	1.9811e-007	70.433	6.6348e-008	1.8667e-007
163.22	2.0009e-007	70.226	6.769e-008	1.8829e-007
164.96	2.0208e-007	70.018	6.9058e-008	1.8992e-007
166.72	2.0409e-007	69.807	7.0451e-008	1.9155e-007
168.5	2.0612e-007	69.593	7.1871e-008	1.9319e-007
170.3	2.0817e-007	69.378	7.3317e-008	1.9483e-007
172.12	2.1023e-007	69.161	7.479e-008	1.9648e-007
173.95	2.1231e-007	68.941	7.629e-008	1.9813e-007
175.81	2.1441e-007	68.719	7.7818e-008	1.9979e-007
177.69	2.1652e-007	68.495	7.9374e-008	2.0145e-007
179.58	2.1865e-007	68.268	8.0958e-008	2.0311e-007
181.5	2.208e-007	68.04	8.2571e-008	2.0478e-007
183.44	2.2297e-007	67.809	8.4214e-008	2.0645e-007
185.4	2.2515e-007	67.575	8.5887e-008	2.0812e-007
187.38	2.2735e-007	67.34	8.7589e-008	2.098e-007
189.38	2.2956e-007	67.102	8.9322e-008	2.1147e-007
191.4	2.318e-007	66.861	9.1087e-008	2.1315e-007
193.44	2.3405e-007	66.618	9.2882e-008	2.1483e-007
195.51	2.3631e-007	66.373	9.471e-008	2.165e-007
197.59	2.386e-007	66.125	9.657e-008	2.1818e-007
199.7	2.409e-007	65.875	9.8463e-008	2.1986e-007
201.83	2.4322e-007	65.622	1.0039e-007	2.2153e-007
203.99	2.4555e-007	65.367	1.0235e-007	2.2321e-007
206.17	2.4791e-007	65.109	1.0434e-007	2.2488e-007
208.37	2.5028e-007	64.849	1.0637e-007	2.2655e-007
210.59	2.5266e-007	64.586	1.0843e-007	2.2821e-007
212.84	2.5507e-007	64.32	1.1053e-007	2.2987e-007
215.11	2.5749e-007	64.052	1.1267e-007	2.3153e-007
217.41	2.5992e-007	63.781	1.1484e-007	2.3318e-007
219.73	2.6238e-007	63.507	1.1704e-007	2.3482e-007
222.07	2.6484e-007	63.23	1.1929e-007	2.3646e-007
224.44	2.6733e-007	62.951	1.2157e-007	2.3809e-007
226.84	2.6983e-007	62.669	1.2389e-007	2.3971e-007
229.26	2.7235e-007	62.384	1.2625e-007	2.4132e-007
231.71	2.7488e-007	62.096	1.2864e-007	2.4292e-007
234.18	2.7743e-007	61.805	1.3108e-007	2.4451e-007
236.68	2.7999e-007	61.511	1.3355e-007	2.4609e-007
239.21	2.8257e-007	61.215	1.3607e-007	2.4766e-007
241.76	2.8517e-007	60.915	1.3862e-007	2.4921e-007
244.34	2.8778e-007	60.612	1.4122e-007	2.5075e-007
246.95	2.904e-007	60.307	1.4385e-007	2.5227e-007
249.59	2.9304e-007	59.998	1.4653e-007	2.5377e-007
252.25	2.9569e-007	59.686	1.4924e-007	2.5526e-007
254.94	2.9835e-007	59.371	1.52e-007	2.5672e-007
257.66	3.0103e-007	59.053	1.548e-007	2.5817e-007
260.41	3.0371e-007	58.732	1.5764e-007	2.596e-007
263.19	3.0642e-007	58.407	1.6052e-007	2.61e-007
266.	3.0913e-007	58.08	1.6345e-007	2.6238e-007
268.84	3.1185e-007	57.749	1.6641e-007	2.6374e-007
271.71	3.1459e-007	57.415	1.6942e-007	2.6507e-007
274.61	3.1733e-007	57.078	1.7247e-007	2.6637e-007
277.54	3.2009e-007	56.738	1.7556e-007	2.6765e-007
280.51	3.2285e-007	56.395	1.7869e-007	2.6889e-007
283.5	3.2563e-007	56.048	1.8186e-007	2.7011e-007
286.53	3.2841e-007	55.698	1.8508e-007	2.7129e-007
289.59	3.312e-007	55.345	1.8833e-007	2.7244e-007
292.68	3.34e-007	54.989	1.9163e-007	2.7356e-007
295.8	3.3681e-007	54.63	1.9496e-007	2.7464e-007
298.96	3.3962e-007	54.267	1.9834e-007	2.7569e-007
302.15	3.4244e-007	53.901	2.0176e-007	2.7669e-007
305.37	3.4527e-007	53.532	2.0522e-007	2.7766e-007
308.63	3.481e-007	53.16	2.0871e-007	2.7859e-007
