Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
249.8	1.0638e-007	90.	7.8687e-014	1.0638e-007
254.46	1.1599e-007	90.	8.3793e-014	1.1599e-007
259.21	1.2597e-007	90.	8.9387e-014	1.2597e-007
264.05	1.3634e-007	90.	9.554e-014	1.3634e-007
268.98	1.4717e-007	90.	1.0233e-013	1.4717e-007
274.	1.5849e-007	90.	1.0987e-013	1.5849e-007
279.11	1.7039e-007	90.	1.1826e-013	1.7039e-007
284.33	1.8292e-007	90.	1.2765e-013	1.8292e-007
289.63	1.9619e-007	90.	1.3823e-013	1.9619e-007
295.04	2.103e-007	90.	1.5022e-013	2.103e-007
300.55	2.2536e-007	90.	1.6389e-013	2.2536e-007
306.16	2.4154e-007	90.	1.7961e-013	2.4154e-007
311.87	2.5901e-007	90.	1.9783e-013	2.5901e-007
317.69	2.7802e-007	90.	2.1915e-013	2.7802e-007
323.62	2.9883e-007	90.	2.4435e-013	2.9883e-007
329.66	3.2182e-007	90.	2.7452e-013	3.2182e-007
335.82	3.4746e-007	90.	3.111e-013	3.4746e-007
342.09	3.7635e-007	90.	3.5618e-013	3.7635e-007
348.47	4.0931e-007	90.	4.1271e-013	4.0931e-007
354.98	4.4748e-007	90.	4.8513e-013	4.4748e-007
361.6	4.9244e-007	90.	5.8024e-013	4.9244e-007
368.35	5.4649e-007	90.	7.0895e-013	5.4649e-007
375.23	6.1315e-007	90.	8.8965e-013	6.1315e-007
382.23	6.9799e-007	90.	1.1554e-012	6.9799e-007
389.37	8.1051e-007	90.	1.5705e-012	8.1051e-007
396.64	9.6822e-007	90.	2.274e-012	9.6822e-007
404.04	1.2075e-006	90.	3.6149e-012	1.2075e-006
411.58	1.618e-006	90.	6.6898e-012	1.618e-006
419.27	2.4983e-006	90.	1.6595e-011	2.4983e-006
427.09	5.8042e-006	89.999	9.4211e-011	5.8042e-006
435.07	1.4471e-005	-89.998	6.2372e-010	-1.4471e-005
443.19	3.0494e-006	-89.999	2.9922e-011	-3.0494e-006
451.46	1.6408e-006	-90.	9.5171e-012	-1.6408e-006
459.89	1.0861e-006	-90.	4.6711e-012	-1.0861e-006
468.47	7.8659e-007	-90.	2.8071e-012	-7.8659e-007
477.22	5.9698e-007	-90.	1.903e-012	-5.9698e-007
486.12	4.6457e-007	-90.	1.4006e-012	-4.6457e-007
495.2	3.6557e-007	-90.	1.0959e-012	-3.6557e-007
504.44	2.8766e-007	-90.	9.0037e-013	-2.8766e-007
513.86	2.2378e-007	-90.	7.704e-013	-2.2378e-007
523.45	1.6958e-007	-90.	6.8277e-013	-1.6958e-007
533.22	1.2219e-007	-90.	6.2435e-013	-1.2219e-007
543.17	7.9636e-008	-90.	5.8742e-013	-7.9636e-008
553.31	4.0434e-008	-89.999	5.6771e-013	-4.0434e-008
