Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
231.99	2.398e-008	41.883	1.7853e-008	1.6009e-008
236.32	2.1696e-008	36.129	1.7524e-008	1.2792e-008
240.73	1.9896e-008	30.486	1.7146e-008	1.0094e-008
245.22	1.8462e-008	24.895	1.6746e-008	7.7716e-009
249.8	1.7312e-008	19.313	1.6338e-008	5.7254e-009
254.46	1.639e-008	13.708	1.5923e-008	3.884e-009
259.21	1.5656e-008	8.0561	1.5502e-008	2.1941e-009
264.05	1.5084e-008	2.3354	1.5071e-008	6.1465e-010
268.98	1.4652e-008	-3.4722	1.4625e-008	-8.8738e-010
274.	1.4348e-008	-9.3841	1.4156e-008	-2.3396e-009
279.11	1.4166e-008	-15.418	1.3656e-008	-3.766e-009
284.33	1.4101e-008	-21.591	1.3112e-008	-5.189e-009
289.63	1.4157e-008	-27.924	1.2509e-008	-6.6301e-009
295.04	1.4342e-008	-34.441	1.1828e-008	-8.111e-009
300.55	1.4667e-008	-41.17	1.1041e-008	-9.6551e-009
306.16	1.5155e-008	-48.146	1.0112e-008	-1.1288e-008
311.87	1.5836e-008	-55.418	8.9886e-009	-1.3038e-008
317.69	1.6758e-008	-63.048	7.5956e-009	-1.4938e-008
323.62	1.7988e-008	-71.128	5.8183e-009	-1.7021e-008
329.66	1.9627e-008	-79.792	3.4784e-009	-1.9316e-008
335.82	2.1827e-008	-89.245	2.878e-010	-2.1825e-008
342.09	2.4822e-008	-99.818	-4.2328e-009	-2.4458e-008
348.47	2.896e-008	-112.07	-1.0883e-008	-2.6837e-008
354.98	3.4707e-008	-126.98	-2.0878e-008	-2.7725e-008
361.6	4.2347e-008	-146.17	-3.518e-008	-2.3573e-008
368.35	5.0485e-008	-171.66	-4.9951e-008	-7.3256e-009
375.23	5.3699e-008	157.12	-4.9475e-008	2.0875e-008
382.23	4.839e-008	126.58	-2.8839e-008	3.8857e-008
389.37	3.9786e-008	102.05	-8.3076e-009	3.8909e-008
396.64	3.2422e-008	83.097	3.8967e-009	3.2187e-008
404.04	2.7038e-008	67.671	1.0273e-008	2.5011e-008
411.58	2.3215e-008	54.293	1.3549e-008	1.8851e-008
419.27	2.0491e-008	42.092	1.5206e-008	1.3736e-008
427.09	1.8543e-008	30.555	1.5968e-008	9.4265e-009
435.07	1.716e-008	19.368	1.6189e-008	5.6909e-009
443.19	1.6213e-008	8.3192	1.6042e-008	2.3458e-009
451.46	1.562e-008	-2.7439	1.5602e-008	-7.4777e-010
459.89	1.5338e-008	-13.947	1.4886e-008	-3.6971e-009
468.47	1.5352e-008	-25.409	1.3867e-008	-6.5871e-009
477.22	1.567e-008	-37.253	1.2473e-008	-9.4859e-009
486.12	1.6331e-008	-49.633	1.0577e-008	-1.2443e-008
495.2	1.7404e-008	-62.756	7.9672e-009	-1.5473e-008
504.44	1.9007e-008	-76.923	4.3005e-009	-1.8514e-008
513.86	2.1316e-008	-92.609	-9.7021e-010	-2.1294e-008
523.45	2.4558e-008	-110.58	-8.6336e-009	-2.2991e-008
533.22	2.888e-008	-132.06	-1.9347e-008	-2.1441e-008
543.17	3.375e-008	-158.59	-3.1421e-008	-1.2321e-008
553.31	3.6828e-008	169.5	-3.6211e-008	6.7128e-009
563.64	3.5312e-008	135.88	-2.5349e-008	2.4584e-008
574.16	3.0501e-008	105.82	-8.3175e-009	2.9345e-008
584.88	2.5519e-008	80.739	4.1067e-009	2.5187e-008
