Freq(hertz)	SPL(dB)		WPhase(deg)
357.10  	85.55   	-41.99  
362.25  	86.36   	-47.28  
367.47  	87.30   	-54.04  
372.76  	88.32   	-62.95  
378.13  	89.33   	-74.84  
383.58  	90.08   	-90.37  
389.10  	90.22   	-108.83 
394.71  	89.51   	-127.49 
400.39  	88.12   	-143.49 
406.16  	86.37   	-155.95 
412.01  	84.44   	-165.48 
417.94  	82.21   	-173.08 
423.96  	78.81   	-179.84 
430.07  	46.34   	-8.82   
436.27  	93.38   	-161.39 
442.55  	85.08   	176.83  
448.93  	82.77   	171.74  
455.39  	81.45   	168.20  
461.95  	80.55   	165.21  
468.61  	79.90   	162.48  
475.36  	79.42   	159.87  
482.20  	79.09   	157.29  
489.15  	78.89   	154.67  
496.19  	78.81   	151.95  
503.34  	78.86   	149.05  
510.59  	79.03   	145.87  
517.95  	79.34   	142.32  
525.41  	79.78   	138.22  
532.98  	80.37   	133.36  
540.65  	81.10   	127.45  
548.44  	81.97   	120.02  
556.34  	82.93   	110.50  
564.36  	83.86   	98.24   
572.48  	84.54   	82.97   
580.73  	84.72   	65.62   
589.10  	84.26   	48.47   
597.58  	83.34   	33.58   
606.19  	82.24   	21.63   
614.92  	81.16   	12.21   
623.78  	80.20   	4.65    
632.76  	79.41   	-1.62   
641.88  	78.80   	-7.05   
651.13  	78.38   	-11.96  
660.50  	78.14   	-16.59  
670.02  	78.10   	-21.17  
679.67  	78.26   	-25.88  
689.46  	78.62   	-30.96  
699.39  	79.19   	-36.68  
709.47  	80.00   	-43.41  
719.69  	81.03   	-51.69  
730.05  	82.25   	-62.31  
740.57  	83.54   	-76.24  
751.24  	84.64   	-94.10  
762.06  	85.15   	-114.86 
773.03  	84.93   	-135.33 
784.17  	84.26   	-152.83 
795.47  	83.54   	-167.00 
806.92  	83.02   	-178.84 
818.55  	82.81   	170.45  
830.34  	82.93   	159.66  
842.30  	83.29   	147.30  
854.43  	82.62   	130.63  
866.74  	90.09   	113.79  
879.22  	88.38   	81.65   
891.89  	86.86   	50.40   
904.74  	84.60   	26.58   
917.77  	82.46   	9.64    
930.99  	80.75   	-3.52   
944.40  	79.51   	-15.07  
958.00  	78.68   	-26.43  
971.80  	78.19   	-38.62  
985.80  	77.93   	-52.55  
1000.00 	77.72   	-68.81  
1014.40 	77.32   	-87.29  
1029.02 	76.55   	-106.69 
1043.84 	75.41   	-125.13 
1058.88 	74.08   	-141.47 
1074.13 	72.79   	-155.67 
1089.60 	71.67   	-168.32 
1105.30 	70.78   	179.87  
1121.22 	70.13   	168.23  
1137.37 	69.72   	156.16  
1153.75 	69.49   	143.14  
1170.37 	69.39   	128.72  
1187.23 	69.30   	112.74  
1204.33 	69.10   	95.39   
1221.68 	68.73   	77.35   
1239.28 	68.16   	59.43   
1257.13 	67.42   	42.21   
1275.23 	66.39   	25.82   
1293.60 	71.25   	10.76   
1312.24 	66.93   	-5.17   
1331.14 	66.43   	-20.68  
1350.31 	66.25   	-36.55  
1369.76 	66.24   	-53.06  
1389.50 	66.37   	-70.45  
1409.51 	66.57   	-88.92  
1429.81 	66.79   	-108.54 
1450.41 	66.97   	-129.19 
1471.30 	67.04   	-150.36 
1492.50 	67.03   	-171.32 
1513.99 	67.03   	168.47  
1535.80 	67.20   	149.06  
1557.93 	67.68   	129.83  
1580.37 	68.58   	109.53  
1603.13 	69.87   	86.34   
1626.22 	71.31   	58.33   
1649.65 	72.36   	25.66   
1673.41 	72.79   	-8.01   
1697.52 	73.02   	-40.76  
1721.97 	81.15   	-73.43  
1746.77 	74.77   	-120.94 
1771.93 	72.71   	-165.73 
1797.46 	69.95   	160.91  
1823.35 	67.88   	134.98  
1849.61 	66.67   	110.36  
1876.26 	65.97   	82.94   
1903.28 	65.08   	51.89   
1930.70 	63.57   	21.23   
1958.51 	61.84   	-5.13   
1986.72 	60.51   	-27.80  
2015.34 	59.83   	-49.61  
2044.37 	59.73   	-73.58  
2073.82 	59.77   	-101.83 
2103.69 	59.33   	-133.07 
2133.99 	58.14   	-162.68 
2164.73 	58.30   	171.47  
2195.91 	57.63   	147.42  
2227.54 	57.87   	122.17  
2259.63 	58.49   	93.16   
2292.18 	58.90   	60.54   
2325.20 	58.92   	28.02   
2358.69 	58.99   	-1.96   
2392.67 	59.64   	-30.99  
2427.13 	60.97   	-62.48  
2462.09 	62.70   	-99.41  
2497.56 	64.31   	-141.88 
2533.53 	65.75   	171.77  
2570.03 	66.73   	117.84  
2607.05 	67.30   	54.15   
2644.60 	64.48   	-2.15   
2682.70 	61.73   	-46.04  
2721.34 	59.78   	-85.68  
2760.54 	58.25   	-125.87 
2800.30 	56.62   	-166.11 
2840.64 	54.99   	156.63  
2881.56 	53.88   	121.99  
2923.07 	53.48   	86.12   
2965.17 	53.21   	46.00   
3007.88 	50.43   	4.84    
3051.21 	52.13   	-32.34  
3095.16 	52.23   	-68.13  
3139.75 	53.09   	-108.44 
3184.97 	53.65   	-153.68 
3230.85 	53.92   	163.74  
3277.39 	55.19   	123.25  
3324.60 	57.70   	75.19   
3372.49 	59.93   	15.43   
3421.07 	61.74   	-50.81  
3470.35 	62.17   	-135.24 
3520.33 	58.26   	156.30  
3571.04 	55.58   	102.65  
3622.48 	53.44   	48.97   
3674.66 	51.24   	-0.82   
3727.59 	49.80   	-46.79  
3781.29 	49.12   	-94.56  
3835.76 	48.47   	-145.11 
3891.01 	48.20   	165.47  
3947.06 	48.06   	117.43  
4003.91 	48.79   	66.48   
4061.59 	49.61   	11.48   
4120.09 	50.69   	-42.49  
4179.44 	53.26   	-100.01 
4239.64 	56.43   	-173.89 
4300.71 	66.73   	97.03   
4362.66 	55.90   	-4.14   
4425.50 	51.96   	-73.26  
4489.25 	49.52   	-139.03 
4553.92 	46.96   	160.10  
4619.51 	45.76   	103.89  
4686.06 	45.17   	41.96   
4753.56 	44.60   	-18.05  
4822.03 	44.87   	-76.56  
4891.49 	45.80   	-141.26 
4961.95 	46.96   	154.10  
5033.42 	49.75   	85.14   
5105.93 	53.49   	-1.85   
5179.47 	55.46   	-117.66 
5254.08 	50.62   	139.00  
5329.77 	47.09   	60.95   
5406.54 	44.31   	-13.42  
5484.42 	42.69   	-81.41  
5563.42 	42.03   	-154.24 
5643.56 	41.63   	135.42  
5724.85 	42.65   	63.35   
5807.31 	43.83   	-14.04  
5890.96 	46.93   	-93.04  
5975.82 	51.23   	163.46  
6061.90 	51.56   	24.86   
6149.22 	46.18   	-78.56  
6237.79 	42.66   	-166.76 
6327.65 	40.43   	112.90  
6418.79 	39.52   	30.32   
6511.25 	39.28   	-51.33  
6605.04 	40.46   	-135.64 
6700.19 	42.36   	135.70  
6796.70 	46.99   	34.46   
6894.60 	50.63   	-110.84 
6993.92 	44.58   	116.71  
7094.66 	40.54   	15.22   
7196.86 	38.12   	-75.69  
7300.52 	36.98   	-170.05 
7405.68 	37.47   	98.30   
7512.36 	39.09   	0.00    
7620.57 	42.92   	-104.13 
7730.34 	48.14   	109.91  
7841.69 	43.25   	-50.70  
7954.65 	38.58   	-164.59 
8069.23 	36.00   	92.85   
8185.47 	35.28   	-12.60  
8303.38 	36.10   	-116.45 
8422.98 	38.53   	132.85  
8544.31 	44.50   	-1.33   
8667.39 	43.62   	169.32  
8792.24 	37.54   	37.01   
8918.88 	34.36   	-78.24  
9047.36 	33.55   	165.98  
9177.68 	34.58   	50.30   
9309.88 	37.90   	-73.30  
9443.98 	44.59   	119.68  
9580.02 	38.87   	-70.55  
9718.02 	33.84   	155.46  
9858.00 	32.06   	29.86   
