Frequency (Hz)	Amplitude (MPa)	Phase Angle (deg)	Real (MPa)	Imaginary (MPa)
211.5	1.7857e-007	71.253	5.7392e-008	1.691e-007
215.44	1.8171e-007	70.906	5.944e-008	1.7171e-007
219.47	1.849e-007	70.554	6.1556e-008	1.7435e-007
223.56	1.8813e-007	70.195	6.3742e-008	1.77e-007
227.73	1.9141e-007	69.83	6.6e-008	1.7968e-007
231.99	1.9475e-007	69.459	6.8332e-008	1.8236e-007
236.32	1.9813e-007	69.081	7.074e-008	1.8507e-007
240.73	2.0156e-007	68.697	7.3227e-008	1.8778e-007
245.22	2.0504e-007	68.305	7.5794e-008	1.9051e-007
249.8	2.0857e-007	67.907	7.8444e-008	1.9325e-007
254.46	2.1215e-007	67.502	8.1179e-008	1.96e-007
259.21	2.1578e-007	67.089	8.4002e-008	1.9876e-007
264.05	2.1946e-007	66.669	8.6916e-008	2.0152e-007
268.98	2.2319e-007	66.241	8.9921e-008	2.0428e-007
274.	2.2698e-007	65.806	9.3022e-008	2.0704e-007
279.11	2.3081e-007	65.362	9.622e-008	2.098e-007
284.33	2.3469e-007	64.91	9.9518e-008	2.1255e-007
289.63	2.3862e-007	64.45	1.0292e-007	2.1529e-007
295.04	2.426e-007	63.981	1.0642e-007	2.1802e-007
300.55	2.4663e-007	63.504	1.1003e-007	2.2073e-007
306.16	2.507e-007	63.018	1.1375e-007	2.2341e-007
311.87	2.5482e-007	62.523	1.1757e-007	2.2608e-007
317.69	2.5898e-007	62.019	1.2151e-007	2.2871e-007
323.62	2.6319e-007	61.506	1.2556e-007	2.3131e-007
329.66	2.6743e-007	60.985	1.2972e-007	2.3387e-007
335.82	2.7172e-007	60.455	1.3399e-007	2.3639e-007
342.09	2.7605e-007	59.916	1.3837e-007	2.3886e-007
348.47	2.8041e-007	59.368	1.4287e-007	2.4128e-007
354.98	2.8481e-007	58.811	1.4749e-007	2.4364e-007
361.6	2.8924e-007	58.246	1.5222e-007	2.4595e-007
368.35	2.9372e-007	57.672	1.5707e-007	2.4819e-007
375.23	2.9822e-007	57.09	1.6203e-007	2.5037e-007
382.23	3.0277e-007	56.498	1.6712e-007	2.5247e-007
389.37	3.0735e-007	55.897	1.7232e-007	2.5449e-007
396.64	3.1196e-007	55.286	1.7765e-007	2.5643e-007
404.04	3.166e-007	54.666	1.8311e-007	2.5828e-007
411.58	3.2128e-007	54.034	1.8869e-007	2.6003e-007
419.27	3.2598e-007	53.391	1.944e-007	2.6167e-007
427.09	3.307e-007	52.737	2.0023e-007	2.6319e-007
435.07	3.3544e-007	52.071	2.0619e-007	2.6458e-007
443.19	3.4019e-007	51.392	2.1227e-007	2.6583e-007
451.46	3.4494e-007	50.702	2.1847e-007	2.6693e-007
459.89	3.4969e-007	49.999	2.2478e-007	2.6787e-007
468.47	3.5442e-007	49.286	2.3119e-007	2.6864e-007
477.22	3.5914e-007	48.562	2.3769e-007	2.6924e-007
486.12	3.6384e-007	47.827	2.4427e-007	2.6965e-007
495.2	3.6852e-007	47.084	2.5094e-007	2.6989e-007
504.44	3.7317e-007	46.332	2.5767e-007	2.6994e-007
513.86	3.7781e-007	45.571	2.6448e-007	2.698e-007
523.45	3.8242e-007	44.801	2.7135e-007	2.6947e-007
533.22	3.8702e-007	44.021	2.783e-007	2.6895e-007
543.17	3.9159e-007	43.23	2.8532e-007	2.6821e-007
553.31	3.9614e-007	42.427	2.9241e-007	2.6726e-007
563.64	4.0065e-007	41.609	2.9957e-007	2.6605e-007
574.16	4.0511e-007	40.775	3.0678e-007	2.6457e-007
584.88	4.0949e-007	39.926	3.1403e-007	2.6281e-007
595.8	4.1376e-007	39.062	3.2127e-007	2.6073e-007
606.92	4.179e-007	38.185	3.2848e-007	2.5834e-007
618.25	4.2189e-007	37.298	3.3561e-007	2.5565e-007
629.79	4.2573e-007	36.407	3.4264e-007	2.5268e-007
641.55	4.2943e-007	35.513	3.4955e-007	2.4945e-007
653.52	4.3301e-007	34.619	3.5635e-007	2.46e-007
665.72	4.3651e-007	33.725	3.6305e-007	2.4235e-007
678.15	4.3994e-007	32.827	3.6969e-007	2.385e-007
690.81	4.4334e-007	31.919	3.763e-007	2.344e-007
703.7	4.4667e-007	30.995	3.8289e-007	2.3002e-007
716.84	4.4989e-007	30.046	3.8943e-007	2.2526e-007
730.22	4.5291e-007	29.071	3.9585e-007	2.2007e-007
743.85	4.5564e-007	28.072	4.0204e-007	2.1441e-007
757.74	4.5799e-007	27.058	4.0786e-007	2.0834e-007
771.88	4.5992e-007	26.044	4.1322e-007	2.0193e-007
786.29	4.6146e-007	25.045	4.1807e-007	1.9535e-007
800.97	4.6271e-007	24.071	4.2248e-007	1.8873e-007
815.92	4.6382e-007	23.123	4.2656e-007	1.8214e-007
831.15	4.6489e-007	22.188	4.3046e-007	1.7556e-007
846.66	4.6595e-007	21.247	4.3428e-007	1.6886e-007
862.47	4.6691e-007	20.28	4.3797e-007	1.6184e-007
878.57	4.6755e-007	19.28	4.4133e-007	1.5438e-007
894.97	4.6764e-007	18.259	4.441e-007	1.4652e-007
911.67	4.6706e-007	17.249	4.4606e-007	1.3849e-007
928.69	4.6591e-007	16.288	4.4721e-007	1.3067e-007
946.03	4.6449e-007	15.399	4.4782e-007	1.2334e-007
963.69	4.6321e-007	14.571	4.4831e-007	1.1653e-007
981.68	4.6229e-007	13.752	4.4904e-007	1.099e-007
1000.	4.6159e-007	12.88	4.4998e-007	1.0289e-007
