Freq (hertz)	SPL (dB)	WPhase (deg)
2497.56 	83.32   	-78.83  
2533.53 	83.20   	-78.99  
2570.03 	83.07   	-79.15  
2607.05 	82.95   	-79.31  
2644.60 	82.83   	-79.46  
2682.70 	82.71   	-79.61  
2721.34 	82.58   	-79.76  
2760.54 	82.46   	-79.91  
2800.30 	82.34   	-80.06  
2840.64 	82.21   	-80.20  
2881.56 	82.09   	-80.34  
2923.07 	81.97   	-80.48  
2965.17 	81.84   	-80.62  
3007.88 	81.72   	-80.75  
3051.21 	81.60   	-80.88  
3095.16 	81.47   	-81.01  
3139.75 	81.35   	-81.13  
3184.97 	81.22   	-81.25  
3230.85 	81.10   	-81.37  
3277.39 	80.98   	-81.49  
3324.60 	80.86   	-81.61  
3372.49 	80.73   	-81.73  
3421.07 	80.61   	-81.85  
3470.35 	80.49   	-81.97  
3520.33 	80.36   	-82.08  
3571.04 	80.24   	-82.20  
3622.48 	80.11   	-82.31  
3674.66 	79.99   	-82.42  
3727.59 	79.87   	-82.53  
3781.29 	79.74   	-82.64  
3835.76 	79.62   	-82.74  
3891.01 	79.49   	-82.84  
3947.06 	79.37   	-82.94  
4003.91 	79.24   	-83.04  
4061.59 	79.12   	-83.14  
4120.09 	79.00   	-83.23  
4179.44 	78.87   	-83.33  
4239.64 	78.75   	-83.42  
4300.71 	78.63   	-83.52  
4362.66 	78.50   	-83.61  
4425.50 	78.38   	-83.70  
4489.25 	78.25   	-83.79  
4553.92 	78.13   	-83.88  
4619.51 	78.00   	-83.97  
4686.06 	77.88   	-84.06  
4753.56 	77.75   	-84.14  
4822.03 	77.63   	-84.22  
4891.49 	77.50   	-84.30  
4961.95 	77.38   	-84.38  
5033.42 	77.25   	-84.46  
5105.93 	77.13   	-84.54  
5179.47 	77.01   	-84.62  
5254.08 	76.88   	-84.69  
5329.77 	76.76   	-84.77  
5406.54 	76.63   	-84.85  
5484.42 	76.50   	-84.92  
5563.42 	76.38   	-84.99  
5643.56 	76.25   	-85.06  
5724.85 	76.13   	-85.13  
5807.31 	76.00   	-85.20  
5890.96 	75.88   	-85.27  
5975.82 	75.75   	-85.33  
6061.90 	75.63   	-85.40  
6149.22 	75.50   	-85.47  
6237.79 	75.38   	-85.53  
6327.65 	75.25   	-85.60  
6418.79 	75.13   	-85.66  
6511.25 	75.00   	-85.72  
6605.04 	74.87   	-85.78  
6700.19 	74.75   	-85.84  
6796.70 	74.62   	-85.90  
6894.60 	74.50   	-85.96  
6993.92 	74.37   	-86.01  
7094.66 	74.24   	-86.07  
7196.86 	74.12   	-86.13  
7300.52 	73.99   	-86.18  
7405.68 	73.87   	-86.24  
7512.36 	73.74   	-86.29  
7620.57 	73.61   	-86.34  
